strategy_id,title,capital_test_status,client_status,initial_capital,final_equity,net_profit,return_percent,win_rate,profit_factor,max_drawdown_percent,trade_count,daily_observation_events,daily_candidate_events,daily_skip_no_trade,scanner_candidates,scanner_trigger_candidates,scanner_watch_candidates,visual_case_count,visual_pending_review_count,definition_status,definition_retest_status,current_week_status,next_week_action,client_note
M10-PA-001,Trend Pullback Second-Entry Continuation,completed_capital_test,已完成资金测试,1600000.00,1995723.86,395723.86,24.7327,0.3584,1.0580,34.1783,19312,12,0,12,6,0,6,0,0,,,continue_read_only_observation,carry_scanner_candidates_into_weekly_review,本周 scanner 有候选，但 M12.2 实际只读观察仍未产生完整策略触发。
M10-PA-002,Breakout Follow-Through Continuation,completed_capital_test,已完成资金测试,1600000.00,1652496.28,52496.28,3.2810,0.3492,1.0144,23.5592,16303,12,0,12,0,0,0,0,0,,,continue_read_only_observation,keep_bar_close_observation_running,本周 M12.2 为 skip/no-trade；继续记录 bar-close 输入。
M10-PA-003,Tight Channel Trend Continuation,completed_capital_test,已完成资金测试,1200000.00,1145568.65,-54431.35,-4.5359,0.3391,0.9588,16.0795,4890,0,0,0,0,0,0,5,5,,,watchlist_after_priority_cases,review_after_tier_a_and_priority_visual_cases,已有资金测试，但不是本周自动观察主线。
M10-PA-004,Broad Channel Boundary Reversal,needs_definition_fix,需要定义修正,,,,,,,,,0,0,0,0,0,0,5,5,needs_definition_fix,deferred_until_definition_fields_exist,definition_fix_required,finish_definition_fields_before_retest,"Broad channel boundary quality, touch tolerance, and strong breakout disqualifier are not yet executable fields."
M10-PA-005,Trading Range Failed Breakout Reversal,needs_definition_fix,需要定义修正,1600000.00,1489245.04,-110754.96,-6.9222,0.3333,,,13111,0,0,0,0,0,0,0,0,needs_definition_fix,completed_with_definition_blocker,definition_fix_required,finish_definition_fields_before_retest,"M10.9 reduced duplicate and over-dense triggers, but range geometry fields remain unavailable."
M10-PA-006,Trading Range BLSHS Limit-Order Framework,research_only,research-only,,,,,,,,,0,0,0,0,0,0,0,0,,,not_independent_trigger,keep_as_supporting_or_research,当前不作为独立扫描或观察触发器。
M10-PA-007,Second-Leg Trap Reversal,needs_definition_fix,需要定义修正,,,,,,,,,0,0,0,0,0,0,5,5,needs_definition_fix,deferred_until_definition_fields_exist,definition_fix_required,finish_definition_fields_before_retest,"First leg, second leg, trap confirmation, and range/breakout edge labels are not yet executable fields."
M10-PA-008,Major Trend Reversal,completed_capital_test,已完成资金测试,1600000.00,1664057.47,64057.47,4.0036,0.3541,1.0532,9.2807,4375,0,0,0,0,0,0,5,5,,,manual_visual_review_required,user_review_priority_visual_cases,图形预审包已准备，进入任何 gate 前仍需人工确认关键图例。
M10-PA-009,Wedge Reversal and Wedge Flag,completed_capital_test,已完成资金测试,1600000.00,1616277.18,16277.18,1.0173,0.3395,1.0159,9.1580,4256,0,0,0,0,0,0,5,5,,,manual_visual_review_required,user_review_priority_visual_cases,图形预审包已准备，进入任何 gate 前仍需人工确认关键图例。
M10-PA-010,Final Flag or Climax TBTL Reversal,visual_only_not_backtestable,图形复核保留,,,,,,,,,0,0,0,0,0,0,0,0,,,not_current_week_focus,keep_in_backlog,当前阶段不进入自动观察或 scanner。
M10-PA-011,Opening Reversal,completed_capital_test,已完成资金测试,800000.00,786985.82,-13014.18,-1.6268,0.2881,0.8270,3.8072,295,0,0,0,0,0,0,5,5,,,watchlist_after_priority_cases,review_after_tier_a_and_priority_visual_cases,已有资金测试，但不是本周自动观察主线。
M10-PA-012,Opening Range Breakout,completed_capital_test,已完成资金测试,800000.00,1015141.29,215141.29,26.8927,0.3815,1.1674,12.7415,3662,8,0,8,6,6,0,0,0,,,continue_read_only_observation,carry_scanner_candidates_into_weekly_review,本周 scanner 有候选，但 M12.2 实际只读观察仍未产生完整策略触发。
M10-PA-013,Support and Resistance Failed Test,completed_capital_test,已完成资金测试,1600000.00,1472972.46,-127027.54,-7.9392,0.3255,0.8763,12.8117,6239,0,0,0,0,0,0,0,0,,,not_current_week_focus,keep_in_backlog,当前阶段不进入自动观察或 scanner。
M10-PA-014,Measured Move Target Engine,supporting_rule,只能辅助,,,,,,,,,0,0,0,0,0,0,0,0,,,not_independent_trigger,keep_as_supporting_or_research,当前不作为独立扫描或观察触发器。
M10-PA-015,Protective Stops and Position Sizing,supporting_rule,只能辅助,,,,,,,,,0,0,0,0,0,0,0,0,,,not_independent_trigger,keep_as_supporting_or_research,当前不作为独立扫描或观察触发器。
M10-PA-016,Trading Range Scaling-In Research,research_only,research-only,,,,,,,,,0,0,0,0,0,0,0,0,,,not_independent_trigger,keep_as_supporting_or_research,当前不作为独立扫描或观察触发器。
