strategy_id,title,client_status,machine_status,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown,max_drawdown_percent,max_consecutive_losses,average_win,average_loss,average_holding_bars,best_symbol,worst_symbol,best_timeframe,worst_timeframe,metric_completeness,metric_gap_note,portfolio_eligible,portfolio_exclusion_reason,decision_reason
M10-PA-001,Trend Pullback Second-Entry Continuation,已完成资金测试,completed_capital_test,1600000.00,1995723.86,395723.86,24.7327,19312,0.3584,1.0580,546852.09,34.1783,44,1042.68,-550.45,368.2969,TSLA,NVDA,5m,1h,full_m10_7_required_metrics,,true,,Historical simulated capital metrics available.
M10-PA-002,Breakout Follow-Through Continuation,已完成资金测试,completed_capital_test,1600000.00,1652496.28,52496.28,3.2810,16303,0.3492,1.0144,376946.88,23.5592,62,648.99,-343.28,83.2629,TSLA,SPY,15m,5m,full_m10_7_required_metrics,,true,,Historical simulated capital metrics available.
M10-PA-003,Tight Channel Trend Continuation,已完成资金测试,completed_capital_test,1200000.00,1145568.65,-54431.35,-4.5359,4890,0.3391,0.9588,192954.17,16.0795,36,764.45,-409.00,256.5006,NVDA,QQQ,15m,5m,full_m10_7_required_metrics,,true,,Historical simulated capital metrics available.
M10-PA-004,Broad Channel Boundary Reversal,需要定义修正,needs_definition_fix,,,,,,,,,,,,,,,,,,not_tested_or_not_entry_trigger,No completed independent capital test for this strategy status.,false,Excluded from M10.12 portfolio proxy because status is needs_definition_fix.,Broad channel boundary requires encoded channel anchors.
M10-PA-005,Trading Range Failed Breakout Reversal,需要定义修正,needs_definition_fix,1600000.00,1489245.04,-110754.96,-6.9222,13111,0.3333,,,,,,,,,,,,partial_retest_metrics,M10.9 retest does not persist full M10.7 metric set or synchronized equity curves; strategy remains needs_definition_fix.,false,Excluded from M10.12 portfolio proxy because status is needs_definition_fix.,Retested with tighter density; range geometry still missing.
M10-PA-006,Trading Range BLSHS Limit-Order Framework,research-only,research_only,,,,,,,,,,,,,,,,,,not_tested_or_not_entry_trigger,No completed independent capital test for this strategy status.,false,Excluded from M10.12 portfolio proxy because status is research_only.,BLSHS limit-order framework is not an independent trigger.
M10-PA-007,Second-Leg Trap Reversal,需要定义修正,needs_definition_fix,,,,,,,,,,,,,,,,,,not_tested_or_not_entry_trigger,No completed independent capital test for this strategy status.,false,Excluded from M10.12 portfolio proxy because status is needs_definition_fix.,Second-leg trap needs explicit leg/range-edge fields.
M10-PA-008,Major Trend Reversal,已完成资金测试,completed_capital_test,1600000.00,1664057.47,64057.47,4.0036,4375,0.3541,1.0532,148490.98,9.2807,33,819.41,-426.47,227.1160,TSLA,NVDA,15m,1d,full_m10_7_required_metrics,,true,,Historical simulated capital metrics available.
M10-PA-009,Wedge Reversal and Wedge Flag,已完成资金测试,completed_capital_test,1600000.00,1616277.18,16277.18,1.0173,4256,0.3395,1.0159,146528.66,9.1580,20,720.40,-364.53,199.6932,SPY,NVDA,15m,5m,full_m10_7_required_metrics,,true,,Historical simulated capital metrics available.
M10-PA-010,Final Flag or Climax TBTL Reversal,图形复核保留,visual_only_not_backtestable,,,,,,,,,,,,,,,,,,not_tested_or_not_entry_trigger,No completed independent capital test for this strategy status.,false,Excluded from M10.12 portfolio proxy because status is visual_only_not_backtestable.,Final flag/climax/TBTL remains too composite for one trigger.
M10-PA-011,Opening Reversal,已完成资金测试,completed_capital_test,800000.00,786985.82,-13014.18,-1.6268,295,0.2881,0.8270,30457.88,3.8072,21,732.14,-358.31,66.2441,NVDA,TSLA,5m,15m,full_m10_7_required_metrics,,true,,Historical simulated capital metrics available.
M10-PA-012,Opening Range Breakout,已完成资金测试,completed_capital_test,800000.00,1015141.29,215141.29,26.8927,3662,0.3815,1.1674,101931.67,12.7415,28,1074.14,-567.52,488.3762,QQQ,NVDA,5m,15m,full_m10_7_required_metrics,,true,,Historical simulated capital metrics available.
M10-PA-013,Support and Resistance Failed Test,已完成资金测试,completed_capital_test,1600000.00,1472972.46,-127027.54,-7.9392,6239,0.3255,0.8763,204986.93,12.8117,27,443.22,-244.11,35.0377,NVDA,SPY,1d,5m,full_m10_7_required_metrics,,true,,Historical simulated capital metrics available.
M10-PA-014,Measured Move Target Engine,只能辅助,supporting_rule,,,,,,,,,,,,,,,,,,not_tested_or_not_entry_trigger,No completed independent capital test for this strategy status.,false,Excluded from M10.12 portfolio proxy because status is supporting_rule.,"Measured move is a target module, not an entry trigger."
M10-PA-015,Protective Stops and Position Sizing,只能辅助,supporting_rule,,,,,,,,,,,,,,,,,,not_tested_or_not_entry_trigger,No completed independent capital test for this strategy status.,false,Excluded from M10.12 portfolio proxy because status is supporting_rule.,"Stop and position sizing is a risk module, not an entry trigger."
M10-PA-016,Trading Range Scaling-In Research,research-only,research_only,,,,,,,,,,,,,,,,,,not_tested_or_not_entry_trigger,No completed independent capital test for this strategy status.,false,Excluded from M10.12 portfolio proxy because status is research_only.,Trading range scaling remains research-only.
