direction,hypothetical_entry_price,hypothetical_quantity,hypothetical_stop_price,hypothetical_target_price,latest_price,latest_price_source,review_status,risk_level,signal_time,simulated_intraday_pnl,simulated_intraday_return_percent,simulated_state,source_refs,strategy_id,strategy_title,symbol,timeframe,variant_id
看涨,134.43,60.9756,126.23,150.82,141.37,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-04-13T16:00:00-04:00,423.17,0.42,观察中,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,PLTR,1d,pa004_long_only_observation
看涨,350.06,39.0016,337.24,375.72,375.80,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-04-10T16:00:00-04:00,1003.86,1.00,触及目标参考,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,TSLA,1d,pa004_long_only_observation
看涨,288.99,28.6533,271.54,323.89,348.56,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-04-01T16:00:00-04:00,1706.88,1.71,触及目标参考,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,GOOG,1d,pa004_long_only_observation
看涨,149.09,36.1272,135.25,176.77,166.10,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-03-31T16:00:00-04:00,614.52,0.61,观察中,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,ORCL,1d,pa004_long_only_observation
看涨,333.49,28.9519,316.22,368.03,436.47,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-03-31T16:00:00-04:00,2981.47,2.98,触及目标参考,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,SOXX,1d,pa004_long_only_observation
看涨,241.67,63.4518,233.79,257.43,242.71,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-03-30T16:00:00-04:00,65.99,0.07,观察中,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,ADBE,1d,pa004_long_only_observation
看涨,184.90,48.4027,174.57,205.56,182.23,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-03-30T16:00:00-04:00,-129.24,-0.13,观察中,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,CRM,1d,pa004_long_only_observation
看涨,155.03,32.3415,139.57,185.95,182.18,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-03-30T16:00:00-04:00,878.07,0.88,观察中,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,PANW,1d,pa004_long_only_observation
看涨,305.88,54.4662,296.70,324.22,348.56,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-03-09T16:00:00-04:00,2324.62,2.32,触及目标参考,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,GOOG,1d,pa004_long_only_observation
看涨,306.17,50.4032,296.25,326.01,350.98,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-03-09T16:00:00-04:00,2258.57,2.26,触及目标参考,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,GOOGL,1d,pa004_long_only_observation
看涨,49.44,165.5629,46.42,55.48,60.27,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-03-04T16:00:00-05:00,1793.05,1.79,触及目标参考,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,TQQQ,1d,pa004_long_only_observation
看涨,271.51,18.3621,244.28,325.97,242.71,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-03-03T16:00:00-05:00,-528.83,-0.53,触及止损参考,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,ADBE,1d,pa004_long_only_observation
看涨,404.71,23.1374,383.10,447.93,425.81,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-02-25T16:00:00-05:00,488.20,0.49,观察中,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,MSFT,1d,pa004_long_only_observation
看涨,178.44,21.6826,155.38,224.56,142.64,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-02-25T16:00:00-05:00,-776.24,-0.78,触及止损参考,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,SNOW,1d,pa004_long_only_observation
看涨,214.82,20.7469,190.72,263.02,320.17,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-02-24T16:00:00-05:00,2185.68,2.19,触及目标参考,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,AMD,1d,pa004_long_only_observation
看涨,101.63,137.7410,98.00,108.89,91.36,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-02-24T16:00:00-05:00,-1414.60,-1.41,触及止损参考,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,NOW,1d,pa004_long_only_observation
看涨,412.15,20.3087,387.53,461.39,375.80,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-02-24T16:00:00-05:00,-738.24,-0.74,触及止损参考,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,TSLA,1d,pa004_long_only_observation
看涨,319.14,22.4820,296.90,363.62,348.56,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-02-20T16:00:00-05:00,661.42,0.66,观察中,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,GOOG,1d,pa004_long_only_observation
看涨,319.04,21.9394,296.25,364.64,350.98,longbridge_quote_readonly,PA004 做多观察版，等待日线收盘确认,中,2026-02-20T16:00:00-05:00,700.75,0.70,观察中,reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-004.json;reports/strategy_lab/m10_price_action_strategy_refresh/visual_golden_cases/M10-PA-004.json;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_016F_channels_limit_orders_breakouts_reversals_tr_channels.md,M10-PA-004,宽通道边界反转（只做多观察版）,GOOGL,1d,pa004_long_only_observation
