candidate_count_today,client_status,detector_event_count,next_action,paper_gate_evidence_now,plain_reason,source_candidate_links,strategy_id,title,unified_queue
29,已进入每日测试,0,继续进入每日看板，优先看机会数、模拟盈亏、胜率和最大回撤。,false,50只日线可测；日内用当前5m观察,"[{""candidate_id"": ""M12-SRC-002"", ""queue"": ""daily_readonly_test"", ""status"": ""进入每日只读测试"", ""selected_variant"": """"}]",M10-PA-001,趋势回调二次入场,daily_readonly_test
25,已进入每日测试,0,继续进入每日看板，优先看机会数、模拟盈亏、胜率和最大回撤。,false,50只日线可测；日内用当前5m观察,"[{""candidate_id"": ""M12-SRC-003"", ""queue"": ""daily_readonly_test"", ""status"": ""进入每日只读测试，并保留为 FTD 确认过滤器候选"", ""selected_variant"": """"}]",M10-PA-002,突破后续跟进,daily_readonly_test
0,作为选股过滤器,0,作为选股加减分或风险过滤，不单独当买卖策略。,false,不再单独作为买卖策略；用于给强趋势股票加分。,"[{""candidate_id"": ""M12-SRC-004"", ""queue"": ""filter_or_ranking_factor"", ""status"": ""先做选股排名因子"", ""selected_variant"": """"}]",M10-PA-003,紧密通道顺势,filter_or_ranking_factor
0,机器检测器观察中,2301,继续收集机器识别到的候选图形，下一步抽样核对稳定性后再决定是否回测。,false,已开始机器识别宽通道边界反转；本轮检测到 2301 个候选图形。,[],M10-PA-004,宽通道边界反转,machine_detector_observation
0,暂不进入每日测试,0,暂不进入每日主线。,false,已补几何字段，但复测结果弱，先暂停,[],M10-PA-005,交易区间失败突破反转,paused_or_not_priority
0,研究项,0,保留研究，不进入每日测试。,false,不是独立入场策略,[],M10-PA-006,BLSHS 限价框架,research_only
0,机器检测器观察中,2500,继续收集机器识别到的候选图形，下一步抽样核对稳定性后再决定是否回测。,false,已开始机器识别第二腿陷阱反转；本轮检测到 2500 个候选图形。,[],M10-PA-007,第二腿陷阱反转,machine_detector_observation
0,严格观察中,0,先观察典型机会，不进入自动买卖准入。,false,图例预审已关闭等待状态；现在按严格定义观察典型反转机会。,"[{""candidate_id"": ""M12-SRC-006"", ""queue"": ""strict_observation"", ""status"": ""进入反转观察队列"", ""selected_variant"": """"}]",M10-PA-008,主要趋势反转 MTR,strict_observation
0,严格观察中,0,先观察典型机会，不进入自动买卖准入。,false,图例预审已关闭等待状态；现在按严格定义观察典型反转机会。,[],M10-PA-009,楔形反转 / 楔形旗形,strict_observation
0,暂非本阶段重点,0,暂不进入每日主线。,false,图形依赖高，后续排队,[],M10-PA-010,Final Flag / Climax / TBTL,manual_review
0,观察名单,0,先观察典型机会，不进入自动买卖准入。,false,不阻塞主线，后续排队,[],M10-PA-011,开盘反转,strict_observation
76,已进入每日测试,0,继续进入每日看板，优先看机会数、模拟盈亏、胜率和最大回撤。,false,当前5m可做日内只读观察,[],M10-PA-012,开盘区间突破,daily_readonly_test
0,观察名单,0,先观察典型机会，不进入自动买卖准入。,false,Wave B 候选，不进入本轮自动主线,[],M10-PA-013,支撑阻力失败测试,strict_observation
0,辅助规则,0,只辅助目标、止损或仓位，不单独触发交易。,false,只用于目标，不单独交易,[],M10-PA-014,Measured Move 目标模块,supporting_rule
0,辅助规则,0,只辅助目标、止损或仓位，不单独触发交易。,false,只用于风险控制，不单独交易,[],M10-PA-015,止损与仓位模块,supporting_rule
0,研究项,0,保留研究，不进入每日测试。,false,不进入每日自动测试,[],M10-PA-016,交易区间加仓研究,research_only
11,已进入每日测试,0,继续进入每日看板，优先看机会数、模拟盈亏、胜率和最大回撤。,false,M12.15 已选 pullback_guard 版本；继续每日观察收益、胜率和回撤。,"[{""candidate_id"": ""M12-SRC-001"", ""queue"": ""daily_readonly_test"", ""status"": ""进入每日只读测试"", ""selected_variant"": ""pullback_guard""}, {""candidate_id"": ""M12-SRC-005"", ""queue"": ""filter_or_ranking_factor"", ""status"": ""作为 FTD 风险过滤器"", ""selected_variant"": ""pullback_guard""}]",M12-FTD-001,方方土日线趋势顺势信号K,daily_readonly_test
0,作为 FTD 风险过滤器,0,跟随 M12-FTD-001 每日观察，不单独统计盈利。,false,该条不是独立买卖策略，只用于降低 M12-FTD-001 的差机会。,"[{""candidate_id"": ""M12-SRC-005"", ""queue"": ""filter_or_ranking_factor"", ""status"": ""作为 FTD 风险过滤器"", ""selected_variant"": ""pullback_guard""}]",M12-FTD-001-filter,长回调保护,filter_or_ranking_factor
